ciclo,ramo,unidad_resp,clave,nombre_actual,nombre_ant,ano_inicio,ano_oper,derecho_bienestar_directo,derecho_bienestar_indirecto,areas_atencion,objetivo,eje_alineado,tema_alineado,indicador_alineado,programa_alineado,sexo,etapa,grupos,ambito,apoyos,modo_apoyos,unidad_territorial,entidades,difinida_pp,medida_pp,cuantific_pp,definida_po,medida_po,cuantific_po,definida_pa,medida_pa,cuantific_pa,cobertura,eficiencia,presupuesto_original,presupuesto_modificado,presupuesto_ejercido
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion",colegio superior agropecuario del estado de guerrero,e002,desarrollo de los programas educativos a nivel superior,desarrollo de los programas educativos a nivel superior,2006,2014,educacion,NA,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,impulsar la competitividad y fortalecer el mercado interno,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,productividad laboral en el sector agropecuario y pesquero,"impulsar la productividad en el sector agroalimentario mediante inversion en capital fisico, humano y tecnologico que garantice la seguridad alimentaria.",ambos,jovenes,estudiantes,rural,becas,monetario,entidades federativas,NA,1,estudiantes,468,1,estudiantes,152.0,0,NA,NA,NA,NA,1081.37,1101.56,1101.56
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion",colegio de postgraduados,e004,desarrollo y aplicacion de programas educativos en materia agropecuaria,desarrollo y aplicacion de programas educativos en materia agropecuaria,2007,2014,educacion,NA,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,impulsar la competitividad y fortalecer el mercado interno,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,productividad laboral en el sector agropecuario y pesquero,"impulsar la productividad en el sector agroalimentario mediante inversion en capital fisico, humano y tecnologico que garantice la seguridad alimentaria.",ambos,personas adultas,estudiantes,rural,capacitacion,no monetario,entidades federativas,NA,NA,personas,10000,0,personas,8e3,0,NA,NA,NA,NA,1214.67,1340.36,1340.36
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion","instituto nacional de investigaciones forestales, agricolas y pecuarias",e005,"apoyo al cambio tecnologico en las actividades agropecuarias, rurales, acuicolas y pesqueras","apoyo al cambio tecnologico en las actividades agropecuarias, rurales, acuicolas y pesqueras",2008,2014,bienestar economico,educacion,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,impulsar la competitividad y fortalecer el mercado interno,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,NA,"impulsar la productividad en el sector agroalimentario mediante inversion en capital fisico, humano y tecnologico que garantice la seguridad alimentaria.",ambos,personas adultas,investigadores | academicos,rural,capacitacion,no monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,otro,NA,1,NA,NA,1,personas,NA,NA,NA,1180.58,1147.55,1147.55
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion",instituto nacional de pesca,e006,generacion de proyectos de investigacion,generacion de proyectos de investigacion,2009,2014,bienestar economico,medio ambiente sano,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,impulsar la competitividad y fortalecer el mercado interno,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,productividad laboral en el sector agropecuario y pesquero,"impulsar la productividad en el sector agroalimentario mediante inversion en capital fisico, humano y tecnologico que garantice la seguridad alimentaria.",ambos,personas adultas,productores agricolas y/o agropecuarios,rural,asesoria tecnica | tecnologias,ambos,entidades federativas,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,796.56,520.68,520.67
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion",comision nacional de acuacultura y pesca,e011,inspeccion y vigilancia pesquera,NA,2011,2014,bienestar economico,medio ambiente sano,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,asegurar la sustentabilidad ambiental y crecimiento verde,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,indice de eficiencia en el uso del agua (ahorro de agua por hectarea de riego tecnificado versus riego no tecnificado).,impulsar el aprovechamiento sustentable de los recursos naturales del pais,ambos,personas adultas,otros: embarcaciones con actividad pesquera,rural,servicios de inspeccion y vigilancia,no monetario,entidades federativas,NA,1,productores agropecuarios y/o acuicolas y/o pesqueros y/o pecuaria,NA,0,NA,NA,0,NA,NA,NA,NA,219.84,126.05,126.05
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion",coordinacion general de delegaciones,s240,programa de concurrencia con las entidades federativas ,"programa de acciones en concurrencia con las entidades federativas en materia de inversion, sustentabilidad y desarrollo de capacidades",2014,2014,bienestar economico,medio ambiente sano,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,impulsar la competitividad y fortalecer el mercado interno,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,NA,impulsar modelos de asociacion que generen economias de escala y mayor valor agregado en el sector agroalimentario.,ambos,personas adultas,productores agricolas y/o agropecuarios,rural,subsidios,monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,productores,4072951,1,productores,4072951.0,1,productores,78105.0,1.92,1.92,4587.37,4185.85,4185.85
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion",subsecretaria de alimentacion y competitividad,s257,programa de productividad y competitividad agroalimentaria,NA,2014,2014,bienestar economico,NA,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,impulsar la competitividad y fortalecer el mercado interno,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,productividad laboral en el sector agropecuario y pesquero,"impulsar la productividad en el sector agroalimentario mediante inversion en capital fisico, humano y tecnologico que garantice la seguridad alimentaria.",ambos,personas adultas,productores agricolas y/o agropecuarios,rural,infraestructura,monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,productores agropecuarios y/o acuicolas y/o pesqueros y/o pecuaria,NA,1,productores agropecuarios y/o acuicolas y/o pesqueros y/o pecuaria,NA,1,productores agropecuarios y/o acuicolas y/o pesqueros y/o pecuaria,192006.0,NA,NA,6309.04,6834.3,6834.26
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion",subsecretaria de desarrollo rural,s258,programa integral de desarrollo rural,NA,2014,2014,bienestar economico,alimentacion,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,promover el desarrollo economico nacional,mexico incluyente,garantizar el ejercicio efectivo de los derechos sociales para toda la poblacion,rendimiento de maiz en areas de temporal,contribuir a erradicar la carencia alimentaria en el medio rural.,ambos,personas adultas,productores agricolas y/o agropecuarios,rural,infraestructura,monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,productores,4331134,1,productores,4331134.0,1,productores,3409527.0,78.72,78.72,12965.19,10904.55,10904.55
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion",subsecretaria de agricultura,s259,programa de fomento a la agricultura,"procampo productivo |  programa de apoyo a la inversion en equipamiento e infraestructura | programa de desarrollo de capacidades, innovacion tecnologica y extensionismo rural | tecnificacion del riego | programa de sustentabilidad de los recursos naturales.",2014,2014,bienestar economico,NA,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,impulsar la competitividad y fortalecer el mercado interno,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,productividad laboral en el sector agropecuario y pesquero,"impulsar la productividad en el sector agroalimentario mediante inversion en capital fisico, humano y tecnologico que garantice la seguridad alimentaria.",ambos,personas adultas,productores agricolas y/o agropecuarios,rural,subsidios,monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,productores,4468624,1,productores,4468624.0,1,productores,2728628.0,61.06,61.06,20599.85,22837.56,22837.55
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion",coordinacion general de ganaderia,s260,programa de fomento ganadero,NA,2014,2014,bienestar economico,NA,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,impulsar la competitividad y fortalecer el mercado interno,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,productividad laboral en el sector agropecuario y pesquero,"impulsar la productividad en el sector agroalimentario mediante inversion en capital fisico, humano y tecnologico que garantice la seguridad alimentaria.",ambos,personas adultas,productores agricolas y/o agropecuarios,rural,subsidios,monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,productores,967638,1,productores,967638.0,1,productores,530866.0,54.86,54.86,6205.21,4961.46,4961.42
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion",comision nacional de acuacultura y pesca,s261,programa de fomento a la productividad pesquera y acuicola,NA,2014,2014,bienestar economico,NA,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,impulsar la competitividad y fortalecer el mercado interno,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,productividad laboral en el sector agropecuario y pesquero,"impulsar la productividad en el sector agroalimentario mediante inversion en capital fisico, humano y tecnologico que garantice la seguridad alimentaria.",ambos,personas adultas,"productores pesqueros, silvicolas y acuicolas",rural,subsidios,monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,productores agropecuarios y/o acuicolas y/o pesqueros y/o pecuaria,11351,1,productores agropecuarios y/o acuicolas y/o pesqueros y/o pecuaria,11351.0,1,productores agropecuarios y/o acuicolas y/o pesqueros y/o pecuaria,4579.0,40.34,40.34,2137.53,1974.28,1974.28
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion",agencia de servicios a la comercializacion y desarrollo de mercados agropecuarios,s262,programa de comercializacion y desarrollo de mercados,NA,2014,2014,bienestar economico,NA,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,promover el desarrollo economico nacional,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,volumen de produccion con cobertura de riesgos de mercado del total de la produccion comercializable elegible.,promover mayor certidumbre en la actividad agroalimentaria mediante mecanismos de administracion de riesgos.,ambos,personas adultas,productores agricolas y/o agropecuarios,rural,subsidios,monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,productores agropecuarios y/o acuicolas y/o pesqueros y/o pecuaria,2591607,1,productores agropecuarios y/o acuicolas y/o pesqueros y/o pecuaria,330330.0,1,productores agropecuarios y/o acuicolas y/o pesqueros y/o pecuaria,242055.0,9.34,73.28,8072.15,8631.01,8630.99
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion","servicio nacional de sanidad, inocuidad y calidad agroalimentaria",s263,programa de sanidad e inocuidad agroalimentaria,NA,2014,2014,medio ambiente sano,bienestar economico,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,impulsar la competitividad y fortalecer el mercado interno,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,porcentaje del territorio nacional conservado libre de la mosca de la fruta.,promover mayor certidumbre en la actividad agroalimentaria mediante mecanismos de administracion de riesgos.,ambos,toda la poblacion,toda la poblacion,ambos,acciones sanitarias y zoosanitarias,no monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1939.0,2497.19,2497.19
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion",direccion general de productividad y desarrollo tecnologico,s264,"programa de innovacion, investigacion, desarrollo tecnologico y educacion",NA,2014,2014,bienestar economico,NA,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,impulsar la competitividad y fortalecer el mercado interno,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,productividad laboral en el sector agropecuario y pesquero,"impulsar la productividad en el sector agroalimentario mediante inversion en capital fisico, humano y tecnologico que garantice la seguridad alimentaria.",ambos,personas adultas,productores agricolas y/o agropecuarios,rural,proyectos de innovacion tecnologica,monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,NA,NA,NA,1,personas,NA,1,personas,52782.0,NA,NA,3593.15,3284.48,3284.48
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion","servicio nacional de sanidad, inocuidad y calidad agroalimentaria",u002,instrumentacion de acciones para mejorar las sanidades a traves de inspecciones fitozoosanitarias,instrumentacion de acciones para mejorar las sanidades a traves de inspecciones fitozoosanitarias,2003,2014,medio ambiente sano,salud,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,promover el desarrollo economico nacional,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,porcentaje del territorio nacional conservado libre de la mosca de la fruta.,promover mayor certidumbre en la actividad agroalimentaria mediante mecanismos de administracion de riesgos.,ambos,toda la poblacion,toda la poblacion,ambos,acciones sanitarias y zoosanitarias,no monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,NA,NA,NA,0,NA,NA,1,entidades federativas,NA,NA,NA,1863.89,1709.81,1709.81
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion",direccion general de productividad y desarrollo tecnologico,u004,sistema nacional de investigacion agricola,sistema nacional de investigacion agricola,2008,2014,bienestar economico,NA,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,impulsar la competitividad y fortalecer el mercado interno,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,productividad laboral en el sector agropecuario y pesquero,"impulsar la productividad en el sector agroalimentario mediante inversion en capital fisico, humano y tecnologico que garantice la seguridad alimentaria.",ambos,personas adultas,productores agricolas y/o agropecuarios,rural,financiamiento para proyectos de investigacion y desarrollo,no monetario,entidades federativas,NA,1,productores,NA,1,productos nacionales,NA,1,NA,NA,NA,NA,61.33,61.33,61.33
